"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"87292643982","1","Managing Agro-Biodiversity for Sustainable Livelihoods in Timor-Leste (BMZ funds)","2012-03-08","start-actual","2016-01-31","end-actual","German Cooperation","DEU","Timor-Leste","TLS","311","Agriculture","Implementation","2012","2016","3227201.27717","1576894.55041"
"87292643967","1","Fourth Rural Development Programme IV (BMZ funds)","2012-03-08","start-actual","2016-01-31","end-actual","German Cooperation","DEU","Timor-Leste","TLS","311","Agriculture","Implementation","2012","2016","968160.379223","323863.922503"
"87292643957","0","Employment Promotion for Young People (YEP).","2008-01-09","start-actual","2013-06-30","end-actual","German Cooperation","DEU","Timor-Leste","TLS","311","Agriculture","Completion","2008","2014","5930389.70957","5755129.10773"
"87292645396","1","Advisory and Training for the Maritime Related Industries of Timor-Leste (Technical Cooperation Project)","2013-06-06","start-actual","","end-actual","German Cooperation","DEU","Timor-Leste","TLS","210","Transport and storage","Implementation","2013","2014","6816113.50963","962908.063144"
"87292191241","1","Urgent Rehabilitation Project for Oecusse Port","2010-09-02","start-actual","2013-02-28","end-actual","Japan International Cooperation Agency","JPN","Timor-Leste","TLS","323","Construction","Completion","2010","2013","12525945.0055","6774682.34483"
"87292643988","1","Innovative approaches to food insecurity in Timor-Leste","2012-08-03","start-actual","2018-07-01","end-actual","European Union","DAC","Timor-Leste","TLS","311","Agriculture","Implementation","2012","2018","1419968.55881","949299.97197"
"87292643975","1","Fourth Rural Development Programme IV (EU funds) Component I","2012-03-08","start-actual","2016-01-31","end-actual","European Union","DAC","Timor-Leste","TLS","311","Agriculture","Implementation","2011","2016","6251172.79","3199762.65907"
"87292646902","0","Global Climate Change Alliance (GCCA) Programme Timor-Leste","2014-01-01","start-actual","","end-actual","European Commission","DAC","Timor-Leste","TLS","311","Agriculture","Implementation","2014","2014","2613480.06","129411.66"
"87292384472","1","UNDP Capacity Building Support to Policia National da Timor Leste (00085256)","2013-01-14","start-actual","","end-actual","United Nations Development Programme|Australian Federal Police|Government Of Japan","AUS|DAC|JPN","Timor-Leste","TLS","150","Government and civil society","Implementation","2013","2014","","1075578.99465"
"87292404405","1","Agriculture and Irrigation Advisor","2013-08-08","start-actual","2015-07-08","end-actual","Japan International Cooperation Agency","JPN","Timor-Leste","TLS","311","Agriculture","Implementation","2013","2015","217458.635481","102338.455481"
"87292191157","1","Timor Leste Police Development Program (TLPDP)","","start-actual","","end-actual","Government Of Australia","AUS","Timor-Leste","TLS","150","Government and civil society","Implementation","2010","2013","78845438.8421","68271975.087"
"87292814702","0","Making the Case for Human Trafficking in Timor-Leste: Informing Program and Policy Development","","start-actual","","end-actual","International Organization for Migration","DAC","Timor-Leste","TLS","150","Government and civil society","Pipeline/identification","2014","2014","200000.0",""
"87292814705","0","Enhanced Migration Management - Technical Assistance for the Government of Timor-Leste on the Border Management System","","start-actual","","end-actual","International Organization for Migration","DAC","Timor-Leste","TLS","150","Government and civil society","Pipeline/identification","2014","2014","1400000.0",""
"87292405777","0","Development of Community Policing Project","2013-04-01","start-actual","","end-actual","Japan International Cooperation Agency","JPN","Timor-Leste","TLS","150","Government and civil society","Implementation","2013","2013","1073160.79155","49127.8922517"
"87292191428","0","Human Resources Cooperation Program","2006-01-01","start-actual","","end-actual","The People's Republic of China","CHN","Timor-Leste","TLS","150","Government and civil society","Implementation","2006","2014","5798511.75705","200000.0"
"87292191252","1","Conflict Mitigation through Community Oriented Policing in Timor-Leste Phase II: Promoting Security through Community-Police Partnerships (CMCOP Phase II: PSCPP)","2009-12-01","start-actual","2014-09-14","end-actual","United States Agency for International Development|New Zealand Aid Programme, Ministry of Foreign Affairs and Trade","USA|NZL","Timor-Leste","TLS","150","Government and civil society","Implementation","2009","2014","4968151.36021","2725239.98099"
"87292481766","1","Timor-Leste Community Policing Programme","2011-07-15","start-actual","2016-07-31","end-actual","New Zealand Aid Programme, Ministry of Foreign Affairs and Trade","NZL","Timor-Leste","TLS","150","Government and civil society","Implementation","2010","2016","11557037.72","2464304.59945"
"87292401936","1","Japan Overseas Cooperation Volunteers (JOCV)","","start-actual","","end-actual","Japan International Cooperation Agency","JPN","Timor-Leste","TLS","700","Humanitarian aid (Including reconstruction and recovery)","Implementation","2010","2013","1018066.16845","337138.678379"
"87292407201","0","The Project of Effective and Accessible Justice System, Social Dialogue and Policing Services for Peacebuilding which contributes to conflict prevention and peace-building in the Democratic Republic of Timor-Leste","2013-12-01","start-actual","2016-02-28","end-actual","Government Of Japan","JPN","Timor-Leste","TLS","150","Government and civil society","Implementation","2013","2016","","15735.0"
"87292191257","1","Youth Radio for Peace Building in Timor-Leste","2010-04-01","start-actual","2015-04-30","end-actual","United States Agency for International Development","USA","Timor-Leste","TLS","920","Support to non-governmental organisations (NGOs) and government organizations","Implementation","2010","2015","2144766.92649","1472606.68383"
"87292434908","0","Apoio a Governacao Democratica em Timor-Leste - componente de apoio a Comunicacao Social","","start-actual","","end-actual","European Union","DAC","Timor-Leste","TLS","220","Communications","Implementation","2011","2013","1303101.38","1282572.80927"
"87292431583","1","Democracy and Development in Action through Media and Empowerment (DAME)","2012-02-01","start-actual","2013-01-31","end-actual","European Union","DAC","Timor-Leste","TLS","150","Government and civil society","Implementation","2012","2013","2055948.10595","1578249.68321"
"87292376065","0","P148264 - Building Capacity for Cadastral Services to Communal Lands Project","","start-actual","","end-actual","World Bank","DAC","Timor-Leste","TLS","311","Agriculture","Pipeline/identification"," "," ","",""
"87292645448","1","Support to peaceful development through innovative employment promotion","2013-09-01","start-actual","","end-actual","German Cooperation","DEU","Timor-Leste","TLS","920","Support to non-governmental organisations (NGOs) and government organizations","Implementation","2012","2014","4885402.24512","813179.759281"
"87292401918","1","The Project for Unity Building through Tree Planting and Conservation of Watershed Areas in Maumeta Village","2011-09-09","start-actual","","end-actual","Japan International Cooperation Agency","JPN","Timor-Leste","TLS","920","Support to non-governmental organisations (NGOs) and government organizations","Implementation","2011","2014","523969.324052","435496.488645"
"87292483953","1","Aquaculture Development","2013-06-26","start-actual","","end-actual","New Zealand Aid Programme, Ministry of Foreign Affairs and Trade","NZL","Timor-Leste","TLS","313","Fishing","Pipeline/identification","2013","2014","","146722.458916"
"87292457126","0","Bolsas de Estudo Internas - Ensino Superior (10397)","2009-01-01","start-actual","","end-actual","Camões - Instituto Da Cooperacao E Da Lingua","POR","Timor-Leste","TLS","110","Education","Implementation","2009","2009","",""
"87292936976","0","Institutional Strengthening for gender Equality and Women's Empowerment in Timor-leste","2013-06-19","start-actual","2018-06-12","end-actual","Norway Ministry of Foreign Affairs","NOR","Timor-Leste","TLS","150","Government and civil society","Implementation","2013","2018","2139217.69393","251310.693927"
"87292817405","0","Disaster Risk Reduction Building Community Resilience in Timor-Leste Phase II - CS.0571","2014-01-01","start-actual","2015-12-31","end-actual","United States Agency for International Development","USA","Timor-Leste","TLS","700","Humanitarian aid (Including reconstruction and recovery)","Implementation","2014","2015","1018137.0","161702.0"
"87292817407","0","Assistance to Irregular Migrants (AIM) in Timor Leste, Phase II-SM.0010","2014-04-01","start-actual","2015-03-31","end-actual","Government Of Australia","AUS","Timor-Leste","TLS","700","Humanitarian aid (Including reconstruction and recovery)","Implementation","2014","2015","39944.99","1136.5"
"87292405693","0","Improvement of Coffee productivity in Ermera and Liquica Districts","2013-09-01","start-actual","2016-08-28","end-actual","Government Of Japan","JPN","Timor-Leste","TLS","311","Agriculture","Implementation","2013","2016","175816.396507","175816.396507"
"87292495983","1","Community Development Project in East Timor","","start-actual","","end-actual","Korean International Cooperation Agency","KOR","Timor-Leste","TLS","998|311|110|160|140","Unallocated/unspecified|Agriculture|Education|Other social infrastructure and services|Water supply and sanitation","Completion","2009","2009","","53568.0460849"
"87292401680","1","The Project for the Construction of Rehabilitation Training Center for the Disabled in Baucau","2011-04-01","start-actual","2012-02-29","end-actual","Government Of Japan","JPN","Timor-Leste","TLS","160","Other social infrastructure and services","Completion","2011","2012","99550.42",""
"87292481497","1","Lafaek Education Support Project","2001-07-01","start-actual","2011-07-30","end-actual","New Zealand Aid Programme, Ministry of Foreign Affairs and Trade","NZL","Timor-Leste","TLS","110","Education","Completion","2001","2011","967430.509142","899782.200961"
"87292452210","0","Escolas de Referência de Timor-Leste - Centros de Formação (10383)","2011-01-01","start-actual","","end-actual","Portugal","PRT","Timor-Leste","TLS","110","Education","Implementation","2011","2013","","3634933.37747"
"872921011801","0","Support to MFI Moris RASIK","2011-01-01","start-actual","2010-12-31","end-actual","Monaco","MCO","Timor-Leste","TLS","240","Banking and financial services","Completion","2010","2011","21756.086749","21756.086749"
"87292891654","1","SO10. Health System Strengthening, Health Policy & Health Service Deliveries","2009-01-01","start-actual","2013-12-31","end-actual","World Health Organization","DAC","Timor-Leste","TLS","120","Health","Implementation","2009","2013","240025.170484","422710.957394"
"87292861566","1","Media & Communication Programme","2009-01-01","start-actual","2013-12-31","end-actual","Government of Netherland|UNICEF Core Resources|United Nations Children's Fund","NLD|DAC","Timor-Leste","TLS","220","Communications","Implementation","2009","2014","887803.857463","1027700.57737"
"87292651793","0","Socialisation Standard Operational Procedure of GBV","2011-09-23","start-actual","2011-12-05","end-actual","Ministry of Social Solidarity","DAC","Timor-Leste","TLS","150","Government and civil society","Completion","2011","2011","4016.15","3995.18"
"87292611848","1","Apoio à Implementação de Sistema de Arquivos de Timor-Leste","2010-07-01","start-actual","","end-actual","Agência Brasileira de Cooperação (Brazil)","BRA","Timor-Leste","TLS","150","Government and civil society","Implementation","2009","2011","715157.211875","362573.676742"
"87292491507","1","Drinking Water Supply by Desalination using Photovoltaic Power Plant(solar panel power)","2010-01-01","start-actual","","end-actual","Korean International Cooperation Agency","KOR","Timor-Leste","TLS","140","Water supply and sanitation","Implementation","2010","2012","6127905.50427","5865664.38069"
"87292391559","1","AusAID Bilateral Support to Education","2012-08-01","start-actual","2013-06-30","end-actual","Australian Aid Program|DFAT - Australian Aid Program","AUS","Timor-Leste","TLS","110","Education","Implementation","2011","2013","3170503.99291","3314192.43115"
"87292191422","1","Institutional Cooperation within power sector","2009-09-02","start-actual","2013-12-31","end-actual","Norway","NOR","Timor-Leste","TLS","230","Energy generation and supply","Implementation","2009","2013","8601053.19046","3059767.5594"
"87292191295","0","Ambassador's Fund for Small Grant Programs","2009-01-01","start-actual","2012-12-31","end-actual","United States Agency for International Development","USA","Timor-Leste","TLS","150","Government and civil society","Completion","2009","2012","303574.819929","299571.852434"
"87292191273","1","TA 7712: Strenghtening Major Public Investment","2011-01-18","start-actual","","end-actual","Ministry of Finance|Asian Development Bank","DAC","Timor-Leste","TLS","150","Government and civil society","Implementation","2010","2012","280862.335612","85416.2124802"
