"project_ID","Project Description","Allocations for Gender Equality","Expected Outcomes","Internal DP Activity IDs","Final Project Results","Activity Created By","Activity Created On","Activity updated by","Activity updated on","Date of Signed Agreement","Proposed Completion Date","Proposed Start Date","Implementation Level","Country","District","SubDistrict","Suco","Donor Group","Donor Type","Aid Modality","Appropriation Category (Only for Actual Disbursements)","Type Of Assistance","Executing Agency","Executing Agency Groups","Implementing Agency","Implementing Agency Groups","RDTL Beneficiary Institutions","RDTL Beneficiary Institution Divisions","RDTL Beneficiary Agency Division COA","Strategic Development Plan Pillars","Strategic Development Plan Sub-Pillars","Structures Column"
"87292191162","The MTE will provide the decision-makers in the GoTL, EU, GTZ & the wider public with sufficient information to 1) make an overall assessment about the performance of the programme & 2) identify key lessons learnt & propose practical recommendations."," "," ","ASIE/2010/228-140 (European Union)","The MTE will provide the decision-makers in the GoTL, EU, GTZ & the wider public with sufficient information to 1) make an overall assessment about the performance of the programme & 2) identify key lessons learnt & propose practical recommendations.","AMP Project Manager (atl@amp.org)","27/07/2011","European Commission User (ec@amp.org)","14/08/2013","03/02/2010","","","District Level","Timor-Leste","Manufahi"," "," ","European Commission","Multilateral","Project Support","Appropriation Category Unallocated","Grant","European Union","European Commission","COWI Belgium SPRL","Private","Ministry of Agriculture and Fisheries"," "," "," "," "," "
"87292191167","To contribute to poverty alleviation and socio-economic development in the rural areas in Timor-Leste through an effective investment porgramme in rural road."," "," ","FED/2009/217-755 (European Union)","1. District and Rural roads surveyed, classified and inventoried; all data collected should be georeferenced to the current UN GIS System and therefore be compatible with the data from the ADB study.  2. Prioritization of roads carried out taking into con","AMP Project Manager (atl@amp.org)","27/07/2011","European Commission User (ec@amp.org)","14/08/2013","16/09/2009","","","National","Timor-Leste"," "," "," ","European Commission","Multilateral","Project Support","Appropriation Category Unallocated","Grant","European Union","European Commission","Egis Bceom International SA","Private","Ministry of Public Works"," "," "," "," "," "
"87292191168","Verification Expenditure of SUPE RDP phase III"," "," ","FED/2010/251-358 (European Union)","Expenditure Verification is an engagement to perform certain agreed-upon procedures with regard to the Record of Expenditure for the above mentioned Programme Estimate (SUPE RDP III)","AMP Project Manager (atl@amp.org)","27/07/2011","European Commission User (ec@amp.org)","14/08/2013","23/09/2010","","","District Level","Timor-Leste","Manufahi"," "," ","European Commission","Multilateral","Project Support","Appropriation Category Unallocated","Grant","European Union","European Commission","Deloitte Touche","Private","Ministry of Agriculture and Fisheries"," "," "," "," "," "
"87292191203","Financial Audit of Closure Request for Programme Estimate nº1 - Institutional Capacity Building to the NAO - Support Office."," "," ","FED/2009/229-417 (European Union)","Financial Audit of Closure Request for Programme Estimate nº1 - Institutional Capacity Building to the NAO - Support Office","AMP Project Manager (atl@amp.org)","01/08/2011","European Commission User (ec@amp.org)","14/08/2013","15/04/2010","","","National","Timor-Leste"," "," "," ","European Commission","Multilateral","Project Support","Appropriation Category Unallocated","Grant","European Union","European Commission","Deloitte Touche","Private","Ministry of Finance"," "," "," "," "," "
"87292431623","Provision of Technical Assitance to the Vice Prime Minister's Office on issues pertaining to procurement including legislation."," "," ","","The Procurement Policy Adviser will: 1. Assess the status of the current procurement practices, including decentralization of procurement services across Government; 2. Provide strategic policy and technical advice to the Vice Prime Minister on the procur","European Commission User (ec@amp.org)","06/03/2012","European Commission User (ec@amp.org)","14/08/2013","","","","National","Timor-Leste"," "," "," ","European Commission","Multilateral","Project Support","Appropriation Category Unallocated","Grant","European Union","European Commission","Ace Acesorio de Comercio Exterior SL","Private","Officer of the Vice Prime Minister, Coordinator of Social Affairs"," "," "," "," "," "
"87292611764","Contribuir para a capacitação profissional da população timorense e apoiar a consolidação técnica, pedagógica e gerencial dos profissionais do Centro de Desenvolvimento Empresarial, Formação Profissional e Promoção Social em Timor-Leste (SEFOPE/Becora)."," "," ","(Agência Brasileira de Cooperação (Brazil))","Iniciado em 2001, o Centro contabiliza 2.674 matrículas e certificou 2.005 timorenses até dezembro de 2010. Encontra-se em pleno funcionamento, com capacidade para 240 alunos em cursos de 200 ou 400 horas, contando com o apoio de 2 técnicos do Serviço Nac","Brazil User (brazil@amp.org)","19/04/2012"," ","","","","","National"," "," "," "," ","Brazil","Bilateral","Program Support","Appropriation Category Unallocated","Loan","Agência Brasileira de Cooperação (Brazil)","Brazil","Agência Brasileira de Cooperação (Brazil)","Brazil","Officer of the Vice Prime Minister, Coordinator of Social Affairs - Secretary of State for Professional Training and Employment Policy"," "," "," "," "," "
"872921051811","Human Rights Education for Primary and Secondary School teachers"," "," "," "," ","OHCHR User (ohchr@amp.org)","29/04/2012","OHCHR User (ohchr@amp.org)","30/04/2012","","31/12/2011","01/01/2011","National"," "," "," "," ","United Nations","Multilateral","Project Support","Capital Development","Grant","Office of the United Nations High Commissioner for Human Rights","United Nations"," - Office of the United Nations High Commissioner for Human Rights
 - UN Human Rights Transitional Justice Section","United Nations","Ministry of Education"," "," "," "," "," "
"872921051813","Human Rights Capacity Development and provision of small grants to local NGOs"," "," "," "," ","OHCHR User (ohchr@amp.org)","29/04/2012","OHCHR User (ohchr@amp.org)","30/04/2012","","","01/01/2011","National"," "," "," "," ","United Nations","Multilateral","Project Support","Capital Development","Grant","Office of the United Nations High Commissioner for Human Rights","United Nations"," - Office of the United Nations High Commissioner for Human Rights
 - UN Human Rights Transitional Justice Section","United Nations","Civil Society Organizations"," "," "," "," "," "
"872921051814","Human Rights Capacity Development of Parliament, Judiciary, Fund for protection of victims of alleged human rights abuses, Creation of human rights materials, Capacity development of Section's national staff."," "," "," "," ","OHCHR User (ohchr@amp.org)","29/04/2012","OHCHR User (ohchr@amp.org)","30/04/2012","","","01/01/2011","National"," "," "," "," ","United Nations","Multilateral","Project Support","Capital Development","Grant","Office of the United Nations High Commissioner for Human Rights","United Nations"," - Office of the United Nations High Commissioner for Human Rights
 - UN Human Rights Transitional Justice Section","United Nations"," - Ministry of Justice
 - National Parliament"," "," "," "," "," "
"872921051815","Human Rights Education for Primary and Secondary School teachers"," "," "," "," ","OHCHR User (ohchr@amp.org)","29/04/2012","OHCHR User (ohchr@amp.org)","30/04/2012","","","01/01/2010","National"," "," "," "," ","United Nations","Multilateral","Project Support","Capital Development","Grant","Office of the United Nations High Commissioner for Human Rights","United Nations"," - Office of the United Nations High Commissioner for Human Rights
 - UN Human Rights Transitional Justice Section","United Nations","Ministry of Education"," "," "," "," "," "
