"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"daZsndFHx5PByytoSkdPjZ","87292643982","","2012","C","USD","3227201.27717"
"R5yvjDp7gfm5TW5oxGxcSa","87292643982","","2012","D","USD","272338.017216"
"CdiGDW4NVKQ7a5V4Pvzeg7","87292643982","","2013","D","USD","1027757.79319"
"8SoApp2Lm7KuT7MhHz7coX","87292643982","","2014","D","USD","276798.74"
"SAH8fbfLwVQ3bqaniU7VWj","87292643967","","2012","C","USD","968160.379223"
"DZgxJBRq48zdHG62K6vHBS","87292643967","","2012","D","USD","74947.3906045"
"jm24wHsSZsfraHs56ZJVmD","87292643967","","2013","D","USD","202451.711898"
"K4nhZVpMR2CUpvVtwW2LVf","87292643967","","2014","D","USD","46464.82"
"kaS8NmV9MvABujRGLnbPfB","87292643957","","2008","C","USD","5930389.70957"
"bAvDs3LconoT6D423qQ9vm","87292643957","","2008","D","USD","36606.8089401"
"GAbvCQN6XCLkskL5YDeomN","87292643957","","2009","D","USD","444226.744213"
"7WNHBGFPKjQb79EEysggKe","87292643957","","2010","D","USD","699105.633213"
"CYpB3RT8CwQR2i9UADHkyK","87292643957","","2011","D","USD","1508865.88"
"U5DPACQizNNdXCxfjSua9M","87292643957","","2012","D","USD","1647865.93372"
"DpM9NJWDHcVU9HeMDz353A","87292643957","","2013","D","USD","1412101.08764"
"zU2a5zuXh6B36wygmyq4Rb","87292643957","","2014","D","USD","6357.02"
"PPW28pKtCxwWaRVh4LzsxF","87292645396","","2013","C","USD","6816113.50963"
"ZxwcScoaLxbnyXQR9ESJSn","87292645396","","2013","D","USD","561327.183144"
"3o9W4wDtEWWBMHGZe8PCM9","87292645396","","2014","D","USD","401580.88"
"BpNZWxcFFTHJBEknN5G99H","87292191241","","2010","C","USD","12525945.0055"
"yhHAhiVsxpejpSuQxetYGD","87292191241","","2011","D","USD","4462166.89"
"5VfGJXgtTfKMyjGK4hMnJ","87292191241","","2012","D","USD","2312515.45483"
"VJGyLYucUfHoEYVifqzu3D","87292643988","","2012","C","USD","1419968.55881"
"AShXzUHjtA3MEFKTYgKcjh","87292643988","","2012","D","USD","275423.598553"
"nNvCASLfsb588nUFyCFXdV","87292643988","","2013","D","USD","452750.833417"
"ixnB7Tzx7uWWCXcLrKR9Go","87292643988","","2014","D","USD","221125.54"
"me6enoFx375X4cZN5mQamZ","87292643975","","2011","C","USD","6251172.79"
"wbPoqkpBTPGzyai6nLZLP3","87292643975","","2012","D","USD","876713.713705"
"nwtF6o2aF2Z2BTEG9XFPce","87292643975","","2013","D","USD","1558398.96537"
"EiipKqABYZeQ78JgLSUU2F","87292643975","","2014","D","USD","764649.98"
"aLiGckrQdYWqKhqFkA6K6A","87292646902","","2014","C","USD","2613480.06"
"V5WUzjDjZGaHBoWYrAXgQb","87292646902","","2014","D","USD","129411.66"
"vGru5tV4BCZHHry2XUqVaP","87292384472","","2013","D","USD","658840.994648"
"DbSTbz2uNQkZbYjuS2G8Go","87292384472","","2014","D","USD","416738.0"
"Y5C6kffGUPz8hureNenFmh","87292404405","","2013","C","USD","51120.1454805"
"ggqNTDpsBHbnHNzR5j3k8P","87292404405","","2014","C","USD","99002.85"
"eSNSHgxN6XiksrKBMyH8Vi","87292404405","","2015","C","USD","67335.64"
"9FqEdK86ucfKde93CjF9b4","87292404405","","2013","D","USD","51120.1454805"
